,author,url,date,rating,review,year,review_length,scores,compound_scores,labels
0,paulclaassen,https://www.imdb.com/review/rw8032959/?ref_=tt_urv,2022-04-04,5.0,"Over-complicated, way too long, and not all that exciting.",2022,58,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3875}",-0.3875,negative
1,neil,https://www.imdb.com/review/rw6050469/?ref_=tt_urv,2020-08-31,5.0,Far too clever for its own good,2020,31,"{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.7096}",0.7096,positive
2,pedroborges,https://www.imdb.com/review/rw6217957/?ref_=tt_urv,2020-10-30,7.0,Tenet Review,2020,12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
3,ThomDerd,https://www.imdb.com/review/rw6131705/?ref_=tt_urv,2020-09-28,9.0,"If you are into movies, Tenet is your jam.",2020,42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
4,dierregi,https://www.imdb.com/review/rw6051247/?ref_=tt_urv,2020-08-31,1.0,Pretentious action movie,2020,24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,walter,https://www.imdb.com/review/rw6046585/?ref_=tt_urv,2020-08-30,5.0,"Lots of potential, but chaotic and at tee end, unsatisfying",2020,59,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.6486}",-0.6486,negative
6,A_Different_Drummer,https://www.imdb.com/review/rw6437752/?ref_=tt_urv,2021-01-03,4.0,Momento was a cry for help ...,2021,30,"{'neg': 0.316, 'neu': 0.408, 'pos': 0.276, 'compound': -0.1027}",-0.1027,negative
7,leftbanker,https://www.imdb.com/review/rw6320553/?ref_=tt_urv,2020-11-29,1.0,I'm Pretty Stupid but This Managed to Totally Insult My Intelligence,2020,68,"{'neg': 0.342, 'neu': 0.338, 'pos': 0.32, 'compound': -0.1139}",-0.1139,negative
8,claudio_carvalho,https://www.imdb.com/review/rw7547674/?ref_=tt_urv,2021-11-14,5.0,Another Overrated Mess by Christopher Nolan,2021,43,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negative
9,Author:Not Available,https://www.imdb.com/review/rw6029039/?ref_=tt_urv,2020-08-26,6.0,First real disappointment from Mr. Christopher Nolan,2020,52,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
10,Leofwine_draca,https://www.imdb.com/review/rw7425366/?ref_=tt_urv,2021-10-09,7.0,Not as good as it thinks it is,2021,30,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.3412}",-0.3412,negative
11,Stay_away_from_the_Metropol,https://www.imdb.com/review/rw7191494/?ref_=tt_urv,2021-08-03,2.0,No story...no characters...no movie,2021,35,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
12,fciocca,https://www.imdb.com/review/rw6043370/?ref_=tt_urv,2020-08-30,5.0,"Unnecessarily complicated, way too long. Very disappointed considering all the hype generated during last months",2020,112,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.5256}",-0.5256,negative
13,SnoopyStyle,https://www.imdb.com/review/rw6327269/?ref_=tt_urv,2020-12-01,7.0,relentless filmmaking,2020,21,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.0516}",0.0516,positive
14,crawford,https://www.imdb.com/review/rw6088132/?ref_=tt_urv,2020-09-12,1.0,Utter nonsense,2020,14,"{'neg': 0.73, 'neu': 0.27, 'pos': 0.0, 'compound': -0.4019}",-0.4019,negative
15,Prismark,https://www.imdb.com/review/rw6130789/?ref_=tt_urv,2020-09-28,6.0,Tenet,2020,5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
16,nalindraferdinando,https://www.imdb.com/review/rw7344490/?ref_=tt_urv,2021-09-14,7.0,Big fan of Nolan but this movie is a lost cause,2021,47,"{'neg': 0.234, 'neu': 0.635, 'pos': 0.131, 'compound': -0.3182}",-0.3182,negative
17,BerkayKuscu,https://www.imdb.com/review/rw7473607/?ref_=tt_urv,2021-10-23,5.0,Do you see the narcissism of this movie?,2021,40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
