,author,url,date,rating,review
0,paulclaassen,https://www.imdb.com/review/rw8032959/?ref_=tt_urv,4 April 2022,5,"Over-complicated, way too long, and not all that exciting."
1,neil-476,https://www.imdb.com/review/rw6050469/?ref_=tt_urv,31 August 2020,5,Far too clever for its own good
2,TxMike,https://www.imdb.com/review/rw6580036/?ref_=tt_urv,9 February 2021,,"Interesting concept, good story, could have been told a lot better."
3,pedroborges-90881,https://www.imdb.com/review/rw6217957/?ref_=tt_urv,30 October 2020,7,Tenet Review
4,ThomDerd,https://www.imdb.com/review/rw6131705/?ref_=tt_urv,28 September 2020,9,"If you are into movies, Tenet is your jam."
5,dierregi,https://www.imdb.com/review/rw6051247/?ref_=tt_urv,31 August 2020,1,Pretentious action movie
6,walter2-1,https://www.imdb.com/review/rw6046585/?ref_=tt_urv,30 August 2020,5,"Lots of potential, but chaotic and at tee end, unsatisfying"
7,A_Different_Drummer,https://www.imdb.com/review/rw6437752/?ref_=tt_urv,3 January 2021,4,Momento was a cry for help ...
8,leftbanker-1,https://www.imdb.com/review/rw6320553/?ref_=tt_urv,29 November 2020,1,I'm Pretty Stupid but This Managed to Totally Insult My Intelligence
9,claudio_carvalho,https://www.imdb.com/review/rw7547674/?ref_=tt_urv,14 November 2021,5,Another Overrated Mess by Christopher Nolan
10,851222,https://www.imdb.com/review/rw6029039/?ref_=tt_urv,26 August 2020,6,First real disappointment from Mr. Christopher Nolan
11,Leofwine_draca,https://www.imdb.com/review/rw7425366/?ref_=tt_urv,9 October 2021,7,Not as good as it thinks it is
12,Stay_away_from_the_Metropol,https://www.imdb.com/review/rw7191494/?ref_=tt_urv,3 August 2021,2,No story...no characters...no movie
13,fciocca,https://www.imdb.com/review/rw6043370/?ref_=tt_urv,30 August 2020,5,"Unnecessarily complicated, way too long. Very disappointed considering all the hype generated during last months"
14,SnoopyStyle,https://www.imdb.com/review/rw6327269/?ref_=tt_urv,1 December 2020,7,relentless filmmaking
15,crawford,https://www.imdb.com/review/rw6088132/?ref_=tt_urv,12 September 2020,1,Utter nonsense
16,Prismark10,https://www.imdb.com/review/rw6130789/?ref_=tt_urv,28 September 2020,6,Tenet
17,nalindra-ferdinando,https://www.imdb.com/review/rw7344490/?ref_=tt_urv,14 September 2021,7,Big fan of Nolan but this movie is a lost cause
18,BerkayKuscu,https://www.imdb.com/review/rw7473607/?ref_=tt_urv,23 October 2021,5,Do you see the narcissism of this movie?
19,Horst_In_Translation,https://www.imdb.com/review/rw6151117/?ref_=tt_urv,5 October 2020,4,"I did not like it a lot, Nolan seems to be on a downward spiral for me now"
20,eva3si0n,https://www.imdb.com/review/rw6427348/?ref_=tt_urv,31 December 2020,7,Perhaps Tenet is the weakest film in Nolan's career
21,gcsman,https://www.imdb.com/review/rw6072774/?ref_=tt_urv,7 September 2020,8,Christopher Nolan does James Bond -- with time travel!
22,elgrampo77,https://www.imdb.com/review/rw6436722/?ref_=tt_urv,2 January 2021,1,Waste of time and money
23,ahmedgorshy,https://www.imdb.com/review/rw6060973/?ref_=tt_urv,4 September 2020,8,An unexpected work from Christopher Nolan
24,oreniaplen,https://www.imdb.com/review/rw6030300/?ref_=tt_urv,27 August 2020,6,"As a massive Nolan fan, this film is almost perplexing to the point where it's just plain ridiculous plotting."
25,Top_Dawg_Critic,https://www.imdb.com/review/rw6354943/?ref_=tt_urv,11 December 2020,6,Nolan's worst film to date
26,ramo140,https://www.imdb.com/review/rw6031491/?ref_=tt_urv,27 August 2020,7,Good movie but too complicated for a casual viewing
27,allie701,https://www.imdb.com/review/rw7925742/?ref_=tt_urv,6 March 2022,5,Would have been better without the time travel
28,frezeframe,https://www.imdb.com/review/rw6093099/?ref_=tt_urv,14 September 2020,,Worth it- but intensely cerebral for 2.5 hours with no break in tension
29,spencermcook,https://www.imdb.com/review/rw6097208/?ref_=tt_urv,15 September 2020,9,Built For Long Term Curiosity
30,vengeance20,https://www.imdb.com/review/rw6036952/?ref_=tt_urv,28 August 2020,1,Mass Confusion 101
31,elshikh4,https://www.imdb.com/review/rw6088631/?ref_=tt_urv,12 September 2020,1,When Style is The Tenet !
32,tandc-53810,https://www.imdb.com/review/rw6850607/?ref_=tt_urv,25 April 2021,1,Excessive Pretentious Confusing Mess.
33,imseeg,https://www.imdb.com/review/rw6337762/?ref_=tt_urv,5 December 2020,5,Start walking backwards. You think that is cool? I dont. I think it is silly.
34,harybobjoebob,https://www.imdb.com/review/rw6162431/?ref_=tt_urv,10 October 2020,7,You'll probably need to watch it twice
35,Fella_shibby,https://www.imdb.com/review/rw6331382/?ref_=tt_urv,2 December 2020,4,This aint no entertaining movie. Nolan shud stop his obsession with so called intelligent films n try making simpler films.
36,kuuk3,https://www.imdb.com/review/rw6030590/?ref_=tt_urv,27 August 2020,1,Bad in every possible way. But sound mixing is awful.
37,Bertaut,https://www.imdb.com/review/rw6407888/?ref_=tt_urv,27 December 2020,2,"An aesthetic showcase that's completely uninterested in human beings (and for the love of God, what does Christopher Nolan have against decent sound mixing?)"
38,r-i-p_333,https://www.imdb.com/review/rw6017575/?ref_=tt_urv,22 August 2020,9,"Brief, Non-Spoiler review"
39,micahlhaddad,https://www.imdb.com/review/rw6086983/?ref_=tt_urv,12 September 2020,8,This movie rewards you for seeing it again.
40,mateo130,https://www.imdb.com/review/rw6033831/?ref_=tt_urv,28 August 2020,9,Confusing as hell but feels all right
41,BitingMovieJunkie,https://www.imdb.com/review/rw6031028/?ref_=tt_urv,27 August 2020,6,Tenet is neither mind-bending nor brilliant. But it'll keep you entertained
42,briancham1994,https://www.imdb.com/review/rw6087472/?ref_=tt_urv,12 September 2020,6,The audience is now deaf
43,MadamWarden,https://www.imdb.com/review/rw6309653/?ref_=tt_urv,25 November 2020,1,MISSIT. BINIT. CHUCKIT.
44,evan_harvey,https://www.imdb.com/review/rw6017565/?ref_=tt_urv,22 August 2020,6,"Loud, choppy, obscure and not as great as you want it to be"
45,K-Kortez,https://www.imdb.com/review/rw6098962/?ref_=tt_urv,16 September 2020,8,An Experimental Thriller Disguised As A Blockbuster
46,barrys-2,https://www.imdb.com/review/rw6409634/?ref_=tt_urv,27 December 2020,1,Watch At Your Own Peril
47,westsideschl,https://www.imdb.com/review/rw6458988/?ref_=tt_urv,9 January 2021,4,KISS
48,damianphelps,https://www.imdb.com/review/rw8283953/?ref_=tt_urv,28 June 2022,4,Its A Supermodel
49,kwenchow,https://www.imdb.com/review/rw6329051/?ref_=tt_urv,2 December 2020,1,"A big letdown from Christopher Nolan! Full of boring conversation, and frustrated action scene! Should have done better!"
50,TheAnimalMother,https://www.imdb.com/review/rw6158921/?ref_=tt_urv,9 October 2020,3,LMAO What A Joke! The DUMBEST action film EVER!!
51,AnAverageNerd,https://www.imdb.com/review/rw6102611/?ref_=tt_urv,17 September 2020,7,Give it a chance
52,Carolyn_Channing,https://www.imdb.com/review/rw6033726/?ref_=tt_urv,28 August 2020,1,The Emperor Has No Clothes
53,shawthingproductions,https://www.imdb.com/review/rw6028680/?ref_=tt_urv,26 August 2020,2,Big Nolan fan but this is a no from me.
54,timoth93,https://www.imdb.com/review/rw6019116/?ref_=tt_urv,23 August 2020,1,A Shallow Ego-Trip From A Once-Great Director
55,Sleepin_Dragon,https://www.imdb.com/review/rw6088135/?ref_=tt_urv,12 September 2020,8,"Excellent, even if I didn't fully get it."
56,SeethingSage,https://www.imdb.com/review/rw6976147/?ref_=tt_urv,29 May 2021,1,Horrible sound
